location_x,location_y,PCI,RSRP,RSRQ,SNR,timestamp,filename
899.0,160.0,42,-74.5,-6.3,28.5,10:32:59.325,B_18Sep25_103259.mrk
899.0,160.0,42,-73.5,-6.1,29.2,10:32:59.919,B_18Sep25_103259.mrk
899.0,160.0,42,-75.0,-6.1,28.9,10:33:00.344,B_18Sep25_103259.mrk
899.0,160.0,42,-74.3,-6.0,28.6,10:33:00.968,B_18Sep25_103259.mrk
899.0,160.0,42,-74.5,-6.0,28.0,10:33:01.385,B_18Sep25_103259.mrk
899.0,160.0,42,-72.6,-6.1,28.6,10:33:02.027,B_18Sep25_103259.mrk
899.0,160.0,42,-73.5,-5.9,29.1,10:33:02.485,B_18Sep25_103259.mrk
899.0,160.0,42,-72.0,-6.1,28.8,10:33:03.059,B_18Sep25_103259.mrk
899.0,160.0,42,-73.8,-5.9,28.5,10:33:03.648,B_18Sep25_103259.mrk
899.0,160.0,42,-75.3,-6.6,28.4,10:33:04.319,B_18Sep25_103259.mrk
899.0,160.0,42,-74.2,-6.2,28.4,10:33:04.696,B_18Sep25_103259.mrk
899.0,160.0,42,-68.5,-5.5,28.4,10:33:05.309,B_18Sep25_103259.mrk
899.0,160.0,42,-68.9,-6.0,29.1,10:33:05.812,B_18Sep25_103259.mrk
899.0,160.0,42,-68.9,-6.1,29.0,10:33:06.280,B_18Sep25_103259.mrk
899.0,160.0,42,-68.9,-6.1,29.7,10:33:06.776,B_18Sep25_103259.mrk
899.0,160.0,42,-69.9,-6.1,29.9,10:33:10.094,B_18Sep25_103259.mrk
899.0,160.0,42,-69.6,-6.1,29.0,10:33:10.592,B_18Sep25_103259.mrk
899.0,160.0,42,-69.5,-6.1,29.0,10:33:11.159,B_18Sep25_103259.mrk
899.0,160.0,42,-69.2,-6.1,28.9,10:33:11.792,B_18Sep25_103259.mrk
899.0,160.0,42,-74.5,-6.1,28.7,10:33:12.284,B_18Sep25_103259.mrk
899.0,160.0,42,-74.9,-6.2,28.4,10:33:12.798,B_18Sep25_103259.mrk
899.0,160.0,42,-75.8,-6.1,28.2,10:33:13.207,B_18Sep25_103259.mrk
899.0,160.0,42,-74.1,-6.9,28.2,10:33:13.881,B_18Sep25_103259.mrk
899.0,160.0,42,-74.3,-6.2,28.4,10:33:14.370,B_18Sep25_103259.mrk
899.0,160.0,42,-71.3,-6.1,28.3,10:33:14.887,B_18Sep25_103259.mrk
899.0,160.0,42,-72.1,-6.1,28.3,10:33:15.322,B_18Sep25_103259.mrk
899.0,160.0,42,-71.5,-6.1,28.5,10:33:15.875,B_18Sep25_103259.mrk
899.0,160.0,42,-70.6,-5.8,28.4,10:33:16.451,B_18Sep25_103259.mrk
899.0,160.0,42,-69.7,-6.0,28.0,10:33:17.038,B_18Sep25_103259.mrk
899.0,160.0,42,-69.9,-6.1,27.7,10:33:17.535,B_18Sep25_103259.mrk
899.0,160.0,42,-70.1,-6.0,28.5,10:33:18.052,B_18Sep25_103259.mrk
899.0,160.0,42,-70.1,-6.1,28.3,10:33:18.558,B_18Sep25_103259.mrk
899.0,160.0,42,-69.6,-6.0,28.5,10:33:19.144,B_18Sep25_103259.mrk
899.0,160.0,42,-69.8,-6.0,28.9,10:33:19.646,B_18Sep25_103259.mrk
899.0,160.0,42,-70.2,-6.1,28.4,10:33:20.287,B_18Sep25_103259.mrk
899.0,160.0,42,-70.3,-6.1,28.3,10:33:20.805,B_18Sep25_103259.mrk
899.0,160.0,42,-70.1,-5.9,28.8,10:33:21.341,B_18Sep25_103259.mrk
899.0,160.0,42,-69.9,-6.3,28.3,10:33:21.895,B_18Sep25_103259.mrk
899.0,160.0,42,-70.0,-6.1,28.4,10:33:22.345,B_18Sep25_103259.mrk
899.0,160.0,42,-69.9,-6.0,28.3,10:33:22.992,B_18Sep25_103259.mrk
899.0,160.0,42,-69.9,-6.1,28.3,10:33:23.480,B_18Sep25_103259.mrk
899.0,160.0,42,-70.0,-6.0,28.1,10:33:23.964,B_18Sep25_103259.mrk
899.0,160.0,42,-70.1,-6.1,28.6,10:33:24.635,B_18Sep25_103259.mrk
899.0,160.0,42,-68.9,-6.1,28.5,10:33:25.154,B_18Sep25_103259.mrk
899.0,160.0,42,-70.0,-6.3,28.5,10:33:25.674,B_18Sep25_103259.mrk
899.0,160.0,42,-70.1,-6.0,29.0,10:33:26.199,B_18Sep25_103259.mrk
899.0,160.0,42,-69.9,-5.8,29.0,10:33:26.801,B_18Sep25_103259.mrk
899.0,160.0,42,-69.8,-6.0,29.0,10:33:27.289,B_18Sep25_103259.mrk
899.0,160.0,42,-70.2,-6.1,28.5,10:33:27.983,B_18Sep25_103259.mrk
899.0,160.0,42,-70.0,-5.9,28.1,10:33:28.547,B_18Sep25_103259.mrk
899.0,160.0,42,-69.9,-6.1,28.7,10:33:29.104,B_18Sep25_103259.mrk
899.0,160.0,42,-69.8,-5.9,29.0,10:33:29.712,B_18Sep25_103259.mrk
899.0,160.0,42,-70.1,-5.8,28.4,10:33:30.197,B_18Sep25_103259.mrk
899.0,160.0,42,-70.3,-6.1,28.1,10:33:30.805,B_18Sep25_103259.mrk
899.0,160.0,42,-69.9,-6.2,28.7,10:33:31.288,B_18Sep25_103259.mrk
899.0,160.0,42,-69.9,-5.9,28.3,10:33:31.786,B_18Sep25_103259.mrk
899.0,160.0,42,-73.0,-6.0,28.3,10:33:32.347,B_18Sep25_103259.mrk
899.0,160.0,42,-72.6,-6.1,28.1,10:33:32.884,B_18Sep25_103259.mrk
899.0,160.0,42,-72.8,-6.0,28.4,10:33:33.378,B_18Sep25_103259.mrk
899.0,160.0,42,-72.9,-6.1,27.8,10:33:33.964,B_18Sep25_103259.mrk
899.0,160.0,42,-72.4,-6.0,28.1,10:33:34.591,B_18Sep25_103259.mrk
899.0,160.0,42,-72.1,-6.1,28.4,10:33:35.132,B_18Sep25_103259.mrk
899.0,160.0,42,-70.5,-6.0,28.6,10:33:35.488,B_18Sep25_103259.mrk
899.0,160.0,42,-71.2,-6.1,28.8,10:33:36.139,B_18Sep25_103259.mrk
899.0,160.0,42,-69.8,-6.4,28.5,10:33:36.749,B_18Sep25_103259.mrk
899.0,160.0,42,-77.4,-6.1,28.6,10:33:37.241,B_18Sep25_103259.mrk
899.0,160.0,42,-76.4,-5.9,28.1,10:33:37.809,B_18Sep25_103259.mrk
899.0,160.0,42,-77.3,-6.1,28.2,10:33:38.456,B_18Sep25_103259.mrk
899.0,160.0,42,-77.3,-5.9,28.3,10:33:38.988,B_18Sep25_103259.mrk
899.0,160.0,42,-77.5,-6.0,28.0,10:33:39.581,B_18Sep25_103259.mrk
899.0,160.0,42,-77.8,-6.0,27.7,10:33:40.090,B_18Sep25_103259.mrk
899.0,160.0,42,-73.7,-5.9,28.4,10:33:40.585,B_18Sep25_103259.mrk
899.0,160.0,42,-71.5,-6.0,28.2,10:33:41.161,B_18Sep25_103259.mrk
899.0,160.0,42,-74.5,-6.4,28.5,10:33:41.794,B_18Sep25_103259.mrk
899.0,160.0,42,-72.5,-6.2,28.8,10:33:42.201,B_18Sep25_103259.mrk
899.0,160.0,42,-70.2,-5.8,28.9,10:33:42.773,B_18Sep25_103259.mrk
899.0,160.0,42,-70.9,-6.1,29.0,10:33:43.294,B_18Sep25_103259.mrk
899.0,160.0,42,-69.6,-6.1,28.0,10:33:43.897,B_18Sep25_103259.mrk
899.0,160.0,42,-69.8,-6.2,28.7,10:33:44.398,B_18Sep25_103259.mrk
899.0,160.0,42,-69.7,-6.0,27.9,10:33:44.818,B_18Sep25_103259.mrk
899.0,160.0,42,-70.1,-6.1,28.6,10:33:45.408,B_18Sep25_103259.mrk
899.0,160.0,42,-69.8,-6.1,28.8,10:33:46.049,B_18Sep25_103259.mrk
899.0,160.0,42,-69.4,-5.9,27.9,10:33:46.514,B_18Sep25_103259.mrk
899.0,160.0,42,-69.9,-6.1,28.9,10:33:47.086,B_18Sep25_103259.mrk
899.0,160.0,42,-69.8,-6.0,28.6,10:33:47.629,B_18Sep25_103259.mrk
899.0,160.0,42,-69.7,-6.1,27.7,10:33:48.197,B_18Sep25_103259.mrk
899.0,160.0,42,-69.8,-6.2,28.7,10:33:48.745,B_18Sep25_103259.mrk
899.0,160.0,42,-69.5,-6.0,28.4,10:33:49.163,B_18Sep25_103259.mrk
899.0,160.0,42,-69.7,-6.1,28.5,10:33:49.729,B_18Sep25_103259.mrk
899.0,160.0,42,-69.6,-6.0,28.6,10:33:50.346,B_18Sep25_103259.mrk
899.0,160.0,42,-69.4,-6.0,28.7,10:33:50.937,B_18Sep25_103259.mrk
899.0,160.0,42,-69.4,-6.0,29.5,10:33:51.539,B_18Sep25_103259.mrk
899.0,160.0,42,-69.3,-6.1,28.7,10:33:52.121,B_18Sep25_103259.mrk
899.0,160.0,42,-69.4,-6.1,30.0,10:33:52.736,B_18Sep25_103259.mrk
899.0,160.0,42,-69.5,-6.0,28.8,10:33:53.382,B_18Sep25_103259.mrk
