location_x,location_y,PCI,RSRP,RSRQ,SNR
494.0,175.0,38,-91.4,-6.3,24.3
494.0,175.0,38,-90.7,-6.5,23.6
494.0,175.0,38,-89.4,-6.3,21.1
494.0,175.0,38,-91.1,-6.7,15.1
494.0,175.0,38,-90.9,-6.8,11.2
494.0,175.0,38,-89.1,-6.3,18.0
494.0,175.0,38,-89.2,-6.1,18.5
494.0,175.0,38,-89.3,-6.6,17.0
494.0,175.0,38,-90.1,-6.7,13.5
494.0,175.0,38,-88.1,-6.3,16.1
494.0,175.0,38,-91.6,-6.5,15.2
494.0,175.0,38,-91.8,-6.4,18.9
494.0,175.0,38,-92.4,-6.5,17.1
494.0,175.0,38,-90.7,-6.1,19.9
494.0,175.0,38,-91.5,-6.4,22.7
494.0,175.0,38,-91.7,-6.3,22.6
494.0,175.0,38,-90.9,-6.3,21.9
494.0,175.0,38,-90.3,-6.3,22.6
494.0,175.0,38,-90.6,-6.3,21.4
494.0,175.0,38,-89.8,-6.3,23.9
494.0,175.0,38,-89.9,-6.3,24.4
494.0,175.0,38,-90.8,-6.8,21.9
494.0,175.0,38,-91.8,-6.0,23.0
494.0,175.0,38,-91.5,-6.4,22.7
494.0,175.0,38,-91.5,-6.4,22.0
494.0,175.0,38,-92.3,-6.4,22.5
494.0,175.0,38,-91.1,-6.3,23.6
494.0,175.0,38,-90.4,-6.2,23.2
494.0,175.0,38,-91.6,-6.4,21.9
494.0,175.0,38,-89.9,-6.3,22.7
494.0,175.0,38,-89.4,-6.3,24.1
494.0,175.0,38,-90.2,-6.4,25.1
494.0,175.0,38,-90.5,-6.4,22.2
494.0,175.0,38,-90.9,-6.5,22.7
494.0,175.0,38,-91.4,-6.3,22.2
494.0,175.0,38,-90.1,-6.3,24.0
494.0,175.0,38,-91.4,-6.2,25.2
494.0,175.0,38,-90.9,-6.2,25.4
494.0,175.0,38,-90.9,-6.6,24.1
494.0,175.0,38,-90.6,-6.4,24.0
494.0,175.0,38,-91.2,-6.6,23.9
494.0,175.0,38,-91.4,-6.4,23.0
494.0,175.0,38,-91.1,-6.5,23.9
494.0,175.0,38,-90.6,-6.2,23.3
494.0,175.0,38,-90.1,-6.2,23.7
494.0,175.0,38,-89.8,-6.2,24.6
494.0,175.0,38,-89.3,-6.2,23.8
494.0,175.0,38,-89.9,-6.4,25.6
494.0,175.0,38,-89.4,-5.9,25.3
494.0,175.0,38,-90.1,-6.4,24.4
494.0,175.0,38,-89.9,-6.5,24.8
494.0,175.0,38,-88.9,-6.1,25.9
494.0,175.0,38,-89.1,-6.3,26.2
494.0,175.0,38,-88.9,-6.3,24.8
494.0,175.0,38,-89.4,-6.4,25.1
494.0,175.0,38,-89.6,-6.2,26.0
494.0,175.0,38,-89.6,-6.3,25.6
494.0,175.0,38,-89.4,-6.4,25.0
494.0,175.0,38,-89.4,-6.3,25.6
494.0,175.0,38,-88.6,-6.1,25.8
494.0,175.0,38,-89.4,-5.9,24.9
494.0,175.0,38,-89.7,-6.1,24.1
494.0,175.0,38,-89.8,-6.3,25.5
494.0,175.0,38,-89.0,-6.3,23.5
494.0,175.0,38,-89.8,-6.2,24.4
494.0,175.0,38,-89.4,-6.4,24.6
494.0,175.0,38,-88.3,-6.1,25.7
494.0,175.0,38,-88.8,-6.1,25.1
494.0,175.0,38,-89.1,-6.3,24.8
494.0,175.0,38,-88.9,-6.1,24.6
494.0,175.0,38,-89.4,-6.0,24.8
494.0,175.0,38,-90.2,-6.5,25.2
494.0,175.0,38,-89.3,-6.4,24.4
494.0,175.0,38,-88.8,-6.4,24.3
494.0,175.0,38,-89.6,-6.4,25.4
494.0,175.0,38,-89.6,-6.4,23.7
494.0,175.0,38,-89.9,-6.4,24.4
494.0,175.0,38,-90.8,-6.3,24.5
494.0,175.0,38,-91.6,-6.2,23.2
494.0,175.0,38,-91.6,-6.4,24.2
494.0,175.0,38,-90.0,-6.3,24.9
494.0,175.0,38,-89.0,-6.3,25.4
494.0,175.0,38,-89.9,-6.2,24.6
494.0,175.0,38,-89.9,-6.3,24.2
494.0,175.0,38,-90.4,-6.1,25.8
494.0,175.0,38,-91.8,-6.3,24.6
494.0,175.0,38,-90.8,-6.2,23.5
494.0,175.0,38,-90.9,-6.3,23.3
494.0,175.0,38,-91.5,-6.5,22.7
494.0,175.0,38,-90.3,-6.3,23.9
494.0,175.0,38,-91.2,-6.6,24.8
494.0,175.0,38,-91.3,-6.4,23.6
494.0,175.0,38,-92.6,-6.7,23.9
494.0,175.0,38,-90.7,-6.3,21.8
494.0,175.0,38,-89.4,-6.2,23.3
494.0,175.0,38,-90.6,-6.7,23.6
494.0,175.0,38,-90.9,-6.4,22.3
494.0,175.0,38,-92.6,-14.4,3.2
494.0,175.0,38,-95.9,-16.1,-6.4
494.0,175.0,38,-92.7,-10.6,-2.7
494.0,175.0,38,-89.9,-17.3,-6.5
494.0,175.0,38,-91.2,-15.3,1.2
494.0,175.0,38,-90.6,-21.4,-8.9
494.0,175.0,38,-90.5,-19.0,-2.9
494.0,175.0,38,-91.6,-19.1,-3.9
494.0,175.0,38,-91.1,-7.8,2.1
494.0,175.0,38,-92.9,-6.9,6.4
494.0,175.0,38,-91.6,-8.3,7.8
494.0,175.0,38,-92.7,-8.9,9.1
494.0,175.0,38,-91.4,-8.2,9.9
494.0,175.0,38,-91.3,-6.8,12.4
494.0,175.0,38,-91.3,-7.6,11.9
494.0,175.0,38,-91.4,-9.3,12.6
494.0,175.0,38,-90.0,-6.4,12.4
494.0,175.0,38,-92.3,-7.1,13.7
494.0,175.0,38,-91.3,-6.9,13.7
494.0,175.0,38,-91.2,-7.2,15.9
494.0,175.0,38,-89.9,-6.0,18.0
494.0,175.0,38,-90.3,-6.3,17.3
494.0,175.0,38,-92.7,-6.3,20.3
494.0,175.0,38,-91.5,-6.5,18.5
494.0,175.0,38,-93.1,-6.7,20.5
494.0,175.0,38,-93.2,-6.6,18.7
494.0,175.0,38,-90.3,-6.0,20.9
494.0,175.0,38,-92.4,-6.6,20.0
494.0,175.0,38,-92.3,-6.6,22.3
494.0,175.0,38,-92.2,-6.6,21.5
494.0,175.0,38,-89.9,-6.4,23.4
494.0,175.0,38,-91.9,-5.6,23.4
494.0,175.0,38,-90.4,-5.7,23.5
494.0,175.0,38,-91.7,-6.7,21.6
494.0,175.0,38,-91.5,-6.4,22.2
494.0,175.0,38,-92.2,-6.5,21.5
494.0,175.0,38,-92.7,-6.4,21.3
494.0,175.0,38,-90.5,-6.2,21.7
494.0,175.0,38,-91.3,-6.7,21.8
494.0,175.0,38,-90.3,-6.6,22.6
494.0,175.0,38,-91.1,-6.4,23.2
494.0,175.0,38,-90.3,-6.4,24.2
494.0,175.0,38,-90.6,-6.2,24.3
494.0,175.0,38,-90.3,-5.9,23.1
494.0,175.0,38,-90.6,-5.9,23.0
494.0,175.0,38,-88.4,-6.0,26.0
494.0,175.0,38,-90.9,-6.3,25.2
494.0,175.0,38,-90.4,-6.3,22.4
494.0,175.0,38,-93.7,-6.4,23.4
494.0,175.0,38,-92.1,-6.4,23.7
494.0,175.0,38,-91.1,-6.3,24.0
494.0,175.0,38,-91.3,-6.8,23.8
494.0,175.0,38,-91.4,-6.5,21.4
494.0,175.0,38,-91.1,-6.6,21.4
494.0,175.0,38,-89.5,-5.9,23.0
494.0,175.0,38,-91.4,-6.0,21.9
